AAAIndicator Name,Unnamed: 0,Country Name,Country Code,AAAIndicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Agriculture, value added (constant LCU)",41,China,CHN,"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN,1.18734191721e+12,1.24558686275e+12,1.30864102397e+12,1.35352703704e+12,1.400016122e+12,1.43848984749e+12,1.47162e+12,1.51062808279e+12,1.55123923747e+12,1.58810989107e+12,1.68482856209e+12,1.77032572985e+12,1.85475418e+12,1.91994577e+12,2.01880187e+12,2.09948983e+12,2.18872749e+12,2.28010259e+12
Alternative and nuclear energy (% of total energy use),47,China,CHN,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,1.89779483074,2.00410627283,1.98443472253,2.07362757975,2.17067768985,2.14596136087,2.24228749635,2.63960407164,2.76452214454,2.77043094319,2.92311402732,2.99944046701,3.00038784264,3.20568656166,3.67900793271,3.68305047951,3.81826539237,3.74297249547
Arable land (% of land area),48,China,CHN,Arable land (% of land area),AG.LND.ARBL.ZS,12.8564961521,12.7372116605,12.7115547872,12.7287039197,12.7659846425,12.7074006495,12.5870505804,12.3646518419,12.1961439904,11.8978983082,11.8872469067,11.9564835553,11.5783502702,11.5554499479,11.5161453341,11.4739645285,11.4207062453,11.3461446489
Arable land (hectares per person),49,China,CHN,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.101272407674,0.0992484572832,0.0980156872408,0.0971485478528,0.096502635001,0.0952316331866,0.0935892511355,0.0912701969572,0.0894251796314,0.0866966780503,0.0861061281176,0.0860997760255,0.08291254138,0.0823175011477,0.0816182326719,0.0809158241065,0.0801522009711,0.079248286996
Arable land (hectares),50,China,CHN,Arable land (hectares),AG.LND.ARBL.HA,120700000.0,119580000.0,119339000.0,119500000.0,119850000.0,119300000.0,118170000.0,116082000.0,114500000.0,111700000.0,111600000.0,112250000.0,108700000.0,108485000.0,108116000.0,107720000.0,107220000.0,106520000.0
Armed forces personnel (% of total labor force),51,China,CHN,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.434105022868,0.604078764095,0.594937436358,0.516721047677,0.536384522899,0.530587296467,0.535990610464,0.517986469726,0.507774306125,0.500173119253,0.496492713985,0.492389175267,0.469929107368,0.373657023878,0.371718189651,0.37762806937,0.377054286497,0.372698462969
"Armed forces personnel, total",52,China,CHN,"Armed forces personnel, total",MS.MIL.TOTL.P1,2930000.0,4130000.0,4135000.0,3640000.0,3820000.0,3820000.0,3910000.0,3810000.0,3770000.0,3750000.0,3755000.0,3755000.0,3605000.0,2885000.0,2885000.0,2945000.0,2945000.0,2945000.0
"Average grace period on new external debt commitments, official (years)",56,China,CHN,"Average grace period on new external debt commitments, official (years)",DT.GPA.OFFT,6.0325,3.7129,4.528,3.9423,5.5886,6.0594,4.9059,4.7039,4.9721,5.4225,5.2144,5.4837,5.6566,5.3955,5.7965,5.835,6.1972,5.9686
"Average maturity on new external debt commitments, official (years)",65,China,CHN,"Average maturity on new external debt commitments, official (years)",DT.MAT.OFFT,21.0555,18.3034,21.1526,19.0699,21.6051,23.2349,21.1092,21.4045,20.9696,21.8875,22.2781,22.5401,24.3361,23.2155,24.3004,26.6374,25.7413,25.919
"Birth rate, crude (per 1,000 people)",67,China,CHN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.7,17.12,16.98,16.57,15.64,14.64,14.03,13.38,12.86,12.41,12.29,12.4,12.09,12.1,12.14,12.13,11.9,11.93
Broad money (% of GDP),69,China,CHN,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,96.8235396083,99.3680659842,106.319483934,115.659559735,124.358516417,134.211272712,136.265054928,141.843985331,146.249764467,154.51502073,150.842818067,152.242422906,158.783882501,150.527241685,150.012328268,176.554678562,177.511973636,175.903642575
Cereal production (metric tons),73,China,CHN,Cereal production (metric tons),AG.PRD.CREL.MT,393891055.0,416113700.0,451374950.0,443493425.0,456247778.0,453040320.0,405224140.0,396481872.0,397986773.0,374287200.0,411571992.0,427760000.0,450992008.0,456324000.0,478478000.0,481563000.0,496891000.0,518832200.0
Cereal yield (kg per hectare),74,China,CHN,Cereal yield (kg per hectare),AG.YLD.CREL.KG,4504.878,4659.258,4895.175,4822.71,4952.828,4944.929,4752.581,4800.278,4885.294,4872.897,5186.711,5224.62,5424.281,5319.888,5547.635,5447.478,5526.722,5701.027
CO2 emissions (kg per 2005 US$ of GDP),85,China,CHN,CO2 emissions (kg per 2005 US$ of GDP),EN.ATM.CO2E.KD.GD,3.60228409552,3.52356834924,3.34330199869,3.0665533807,2.72429544407,2.52665661189,2.3914209858,2.26160377676,2.19599243021,2.44494738087,2.59565995012,2.55224877009,2.50914024763,2.32649902006,2.19839641577,2.20044052961,2.13500797169,2.13014668521
CO2 emissions (kg per 2011 PPP $ of GDP),86,China,CHN,CO2 emissions (kg per 2011 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,1.10446016823,1.08032592337,1.02505626707,0.940205151208,0.835268880707,0.774672822191,0.733209584319,0.693407632909,0.673291196524,0.749620775033,0.7958292431,0.782519376935,0.769302305567,0.713304512063,0.674028258407,0.674654983631,0.654593363833,0.653102893582
CO2 emissions (kg per PPP $ of GDP),87,China,CHN,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,1.54642083501,1.48172457893,1.38071357341,1.24511145795,1.09426898115,0.999586413909,0.925035633477,0.855328405481,0.817957814588,0.892883337075,0.922555171651,0.878847732181,0.838250351181,0.757085220956,0.70163493799,0.696994117771,0.668108280841,0.653102893582
CO2 emissions (kt),88,China,CHN,CO2 emissions (kt),EN.ATM.CO2E.KT,3058241.33,3320285.15,3463089.131,3469510.048,3324344.519,3318055.614,3405179.867,3487566.356,3694242.143,4525177.009,5288166.032,5790016.984,6414463.08,6791804.714,7035443.861,7692210.895,8256969.232,9019518.215
CO2 emissions (metric tons per capita),89,China,CHN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.56599389177,2.75575496637,2.84430958154,2.82056789058,2.67674598026,2.64864924665,2.69686243323,2.74212081299,2.88522504139,3.51224542766,4.08013890554,4.44115069493,4.89272709798,5.15356401659,5.31115185539,5.7781431839,6.1724888761,6.71030199088
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",90,China,CHN,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,38.4064864865,38.7148658175,42.5948695382,42.7449187821,44.4047656972,46.6373244649,47.4603256124,48.5040413409,50.5820452156,51.4718804395,50.3334518572,50.1396423158,51.4572612789,52.1548530501,51.9095590433,52.3400766089,52.597421399,53.6285684474
CO2 emissions from gaseous fuel consumption (% of total),91,China,CHN,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,1.36032806149,1.27914296759,1.28516412129,1.27380187371,1.52036772095,1.64603323011,1.75748249248,1.92720184046,1.97532530828,1.34348762223,1.3535853369,1.46850569238,1.61881731495,1.90795306191,2.13027010038,2.13916770154,2.38411401894,2.65782257196
CO2 emissions from liquid fuel consumption (% of total),93,China,CHN,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,13.8661135026,14.1136451488,14.7567802811,16.0950130213,16.8369997695,17.9997170777,19.0655620659,18.9197828126,18.8778564048,17.0008435796,16.9133677647,15.6513307561,15.2211246027,14.8391430031,14.7395760309,13.7262744406,13.8692345681,12.4086605994
CO2 emissions from liquid fuel consumption (kt),94,China,CHN,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,424059.214,468613.264,511040.454,558418.094,559719.879,597240.623,649216.681,659839.98,697393.727,769318.265,894406.969,906214.709,976353.418,1007845.614,1036994.597,1055853.978,1145178.431,1119201.403
CO2 emissions from manufacturing industries and construction (% of total fuel combustion),95,China,CHN,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,40.230990991,40.633366759,37.8627174363,37.2749979594,37.7350195916,33.9353089977,34.2708764467,33.4558249783,31.7335988617,31.7921386381,32.9991234743,33.8645108632,32.9526218866,32.423643698,33.2189005205,32.8714812732,32.0033587167,31.273484278
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",96,China,CHN,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,5.03747747748,4.49691060785,7.47049078484,3.81879030283,3.99381988468,4.32929055688,2.14315709335,2.12328666284,2.13791018447,2.10552526798,2.12164687593,2.09676314849,1.97396123102,1.83378612003,1.64314836101,1.65760333523,1.62655095915,1.55478648714
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),97,China,CHN,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,11.5531531532,11.458715991,5.92546334645,10.6835360379,8.55850402982,9.10068783121,8.04454286465,7.8341651576,7.44108126999,6.87204755987,6.79183342705,6.31823641657,6.04972698018,5.89461785436,5.4376130589,5.33701166211,5.26791832638,5.11452847907
CO2 emissions from solid fuel consumption (% of total),98,China,CHN,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,77.9054904735,77.458943067,76.8845173567,75.2755394528,73.6016599067,71.74202789,70.4335877304,69.7002737975,69.3594288034,72.1548231927,72.5852509126,73.6738038902,73.5443964236,73.2580439297,73.2061630902,73.475903198,72.7540485039,73.3276143509
CO2 emissions from solid fuel consumption (kt),99,China,CHN,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,2382537.908,2571857.784,2662579.364,2611692.405,2446772.747,2380440.384,2398390.349,2430843.299,2562305.249,3265133.47,3838428.583,4265725.758,4717478.156,4975543.281,5150378.507,5651921.431,6007279.4,6613797.533
CO2 emissions from transport (% of total fuel combustion),100,China,CHN,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,4.77225225225,4.69647177186,6.14678246014,5.4777569178,5.30789079673,5.99705920085,8.08140009124,8.08297631141,8.1053644682,7.75816866708,7.75394436543,7.58066217664,7.56625951849,7.69341591149,7.79047084891,7.79397433217,8.50488847709,8.42850659791
CO2 intensity (kg per kg of oil equivalent energy use),101,China,CHN,CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,3.14397583763,3.1789503464,3.22597216967,3.23481510304,3.07832407973,3.01449265005,2.93207964225,2.93863887079,2.94636349919,3.16988075426,3.22477912536,3.26073726743,3.30822577603,3.32181558186,3.31733255749,3.36472686664,3.26821589198,3.2835068333
Combustible renewables and waste (% of total energy),103,China,CHN,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,21.075214411,19.6161568653,19.0614657564,19.0654565397,18.9094520112,18.5345505113,17.5331921803,17.1431740223,16.2028658749,14.2146499903,12.3632152686,11.4694943014,10.5510405095,10.0894101566,9.74924096074,9.18196644187,8.45538012283,7.87826452652
Consumer price index (2010 = 100),111,China,CHN,Consumer price index (2010 = 100),FP.CPI.TOTL,63.4896052812,74.217484503,80.3953590908,82.6519307486,81.9538309202,80.8000098763,81.0062961619,81.5918927082,80.9669401879,81.9028449123,85.0841009839,86.6340336009,87.9016532882,92.0772425547,97.4770053793,96.7917916117,100.0,105.410829643
Crop production index (2004-2006 = 100),113,China,CHN,Crop production index (2004-2006 = 100),AG.PRD.CROP.XD,63.39,67.98,73.52,75.88,78.22,80.77,84.76,86.89,90.83,90.52,97.35,100.12,102.54,108.04,114.72,116.77,120.54,126.73
"Currency composition of PPG debt, all other currencies (%)",114,China,CHN,"Currency composition of PPG debt, all other currencies (%)",DT.CUR.OTHC.ZS,0.841,0.7687,0.6668,0.5055,0.4027,0.4281,0.3936,0.3634,0.3775,0.3788,0.3401,0.3128,0.2747,0.1713,0.1228,0.1038,0.085,0.0835
"Currency composition of PPG debt, Japanese yen (%)",117,China,CHN,"Currency composition of PPG debt, Japanese yen (%)",DT.CUR.JYEN.ZS,23.22,20.6809,15.8564,11.8234,14.8079,18.5433,17.01,14.7075,15.607,17.1859,16.5694,14.0094,12.7236,8.6235,9.1711,7.9447,7.3093,7.3064
"Currency composition of PPG debt, Multiple currencies (%)",118,China,CHN,"Currency composition of PPG debt, Multiple currencies (%)",DT.CUR.MULC.ZS,18.7479,17.0768,15.6247,10.8018,6.2427,9.5458,6.3918,6.0988,5.9158,4.3076,3.8902,3.4896,3.076,2.7082,2.3546,1.9552,1.7027,1.6454
"Currency composition of PPG debt, U.S. dollars (%)",122,China,CHN,"Currency composition of PPG debt, U.S. dollars (%)",DT.CUR.USDL.ZS,53.6174,58.0639,64.9889,74.6375,72.4568,66.1781,71.3385,73.7813,72.0599,70.2337,70.9022,74.8904,76.202,80.6323,82.1531,84.1932,84.7723,84.3646
"Death rate, crude (per 1,000 people)",123,China,CHN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.49,6.57,6.56,6.51,6.5,6.46,6.45,6.43,6.41,6.4,6.42,6.51,6.81,6.93,7.06,7.08,7.11,7.14
DEC alternative conversion factor (LCU per US$),133,China,CHN,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,8.61870003,8.35070038,8.3142004,8.28979969,8.27910042,8.27830029,8.27840042,8.27706814,8.27695751,8.27703667,8.2768,8.19431667,7.9734,7.6075,6.9487,6.8314,6.7703,6.4615
Depth of the food deficit (kilocalories per person per day),135,China,CHN,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,185.0,173.0,158.0,145.0,138.0,133.0,131.0,130.0,129.0,129.0,130.0,130.0,129.0,126.0,122.0,116.0,109.0,102.0
Domestic credit provided by financial sector (% of GDP),143,China,CHN,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,88.9477007652,87.2219441255,92.8036405146,100.143410194,112.469967732,118.655869925,118.99831924,122.313866641,142.662708054,151.052058879,139.638458035,133.605546763,132.657493501,126.729344965,119.771628692,143.095626863,143.634070624,142.1066167
Domestic credit to private sector (% of GDP),144,China,CHN,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,86.1977812446,84.495450664,89.7572105409,97.073543205,105.579634253,110.844549756,111.684107348,110.636099987,118.193410026,126.460473651,119.467116823,112.699124994,110.052026908,106.605693468,102.80635905,125.447730016,127.575114277,124.066377553
Domestic credit to private sector by banks (% of GDP),145,China,CHN,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,84.6948798587,83.3828999931,88.8368824252,96.8582075929,105.457313948,110.731973429,111.573660278,110.458772254,118.022553346,126.309446225,119.382339106,112.66322854,110.021547704,106.581967574,102.792430159,125.435011955,127.569002966,124.061215785
Electric power transmission and distribution losses (% of output),148,China,CHN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,6.42228227141,7.38759889144,7.12371912854,7.02940378879,6.77523419886,6.95210802292,6.90668371383,6.97544921577,7.06172681355,6.59462524546,6.44345444633,6.81906638886,6.47715453033,6.27135358619,6.13982410628,6.03480551674,6.1187571221,5.74020040435
Electricity production from coal sources (% of total),149,China,CHN,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,74.9392325197,73.8717221821,76.2883705945,76.4742395481,75.7687273425,77.7844364988,78.315515651,76.3505496152,77.6407453891,79.4433476768,77.8997586086,78.7921508828,80.2103264136,80.900950995,78.8097549992,78.5909807955,77.4395966191,79.1356563642
"Electricity production from oil, gas and coal sources (% of total)",154,China,CHN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,80.3320231692,79.5218679952,81.129203684,81.2265137721,80.7391569526,82.1205812821,82.1411007073,79.8781302689,80.8781204662,82.7090127103,81.5017158657,81.7165488244,82.5171221242,82.8719600037,80.3732004897,80.3896747001,79.3999413436,81.0884977496
Employment in agriculture (% of total employment),157,China,CHN,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,54.2999992371,52.2000007629,50.5,49.9000015259,49.7999992371,50.0999984741,50.0,50.0,50.0,49.0999984741,46.9000015259,44.7999992371,42.5999984741,40.7999992371,39.5999984741,38.0999984741,36.7000007629,34.7999992371
Employment in industry (% of total employment),158,China,CHN,Employment in industry (% of total employment),SL.IND.EMPL.ZS,22.7000007629,23.0,23.5,23.7000007629,23.5,23.0,22.5,22.2999992371,21.3999996185,21.6000003815,22.5,23.7999992371,25.2000007629,26.7999992371,27.2000007629,27.7999992371,28.7000007629,29.5
Employment in services (% of total employment),159,China,CHN,Employment in services (% of total employment),SL.SRV.EMPL.ZS,23.0,24.7999992371,26.0,26.3999996185,26.7000007629,26.8999996185,27.5,27.7000007629,28.6000003815,29.2999992371,30.6000003815,31.3999996185,32.2000007629,32.4000015259,33.2000007629,34.0999984741,34.5999984741,35.7000007629
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",160,China,CHN,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,69.6999969482,69.4000015259,69.1999969482,69.0,68.5999984741,68.3000030518,68.0,67.3000030518,66.5,65.6999969482,64.9000015259,64.1999969482,63.7000007629,63.2000007629,62.2999992371,61.7999992371,61.2999992371,61.4000015259
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",161,China,CHN,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,80.5999984741,80.3000030518,80.0999984741,79.9000015259,79.5,79.0999984741,78.9000015259,78.1999969482,77.5999984741,77.0,76.3000030518,75.8000030518,75.5,75.1999969482,74.4000015259,74.0,73.9000015259,74.0
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",162,China,CHN,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,75.3000030518,75.0,74.8000030518,74.5999984741,74.1999969482,73.9000015259,73.5999984741,72.9000015259,72.1999969482,71.5,70.6999969482,70.1999969482,69.6999969482,69.4000015259,68.5,68.0999984741,67.8000030518,67.9000015259
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",163,China,CHN,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,71.1999969482,70.0999984741,68.9000015259,67.5,65.6999969482,64.0,62.5,60.4000015259,58.5,56.7999992371,55.0999984741,53.7999992371,52.9000015259,52.0999984741,50.7999992371,49.9000015259,49.0,49.4000015259
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",164,China,CHN,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,68.5999984741,67.5999984741,66.5999984741,65.4000015259,63.7000007629,62.2000007629,61.0,59.2999992371,57.7000007629,56.4000015259,55.0999984741,54.4000015259,53.9000015259,53.7999992371,52.5999984741,52.0999984741,51.5999984741,51.9000015259
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",165,China,CHN,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,69.9000015259,68.8000030518,67.6999969482,66.4000015259,64.6999969482,63.0999984741,61.7999992371,59.7999992371,58.0999984741,56.5999984741,55.0999984741,54.0999984741,53.4000015259,53.0,51.7999992371,51.0,50.2999992371,50.7000007629
Energy intensity level of primary energy (MJ/$2011 PPP GDP),167,China,CHN,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,15.6410597564,14.8517230194,13.7612820583,12.4982209252,11.5136445877,10.8827206021,10.6694004651,10.067514194,9.75060716843,10.090028686,10.5287437958,10.242386515,9.92587540713,9.16833031793,8.67431451211,8.56160003973,8.5666222544,8.52168347134
Energy use (kg of oil equivalent per capita),168,China,CHN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,816.16209039,866.875750194,881.690675537,871.940992216,869.546516525,878.638482201,919.778028662,933.126162676,979.249519681,1108.0055371,1265.24600505,1362.00813825,1478.95803649,1551.42990018,1601.03087747,1717.26960699,1888.64171772,2043.638808
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",169,China,CHN,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,351.294101885,339.837306549,317.751119093,290.651898566,271.338838625,256.982820037,250.064689156,235.962179566,228.515998351,236.482326354,246.785659471,239.982345328,232.542262122,214.733327147,203.183807088,200.508097795,200.290735211,198.904076263
Exports of goods and services (% of GDP),173,China,CHN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,21.5061618338,20.3694433811,17.5716024216,19.086989091,17.934656477,17.9179644231,20.6806626423,19.9730843454,22.2706236261,26.5719666736,30.5531427178,33.7006538071,35.6515722473,34.932919035,31.6951547285,23.7334385897,26.1731615615,25.4564374049
External debt stocks (% of GNI),184,China,CHN,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,17.9969920374,16.4876059507,15.2690764594,15.5787229328,14.3577412943,13.8999768934,12.3033327563,14.0972813147,12.8708403959,12.665095116,12.693825455,12.5452704953,11.8472337714,10.6142510629,8.31725521226,8.95159851702,9.48026093187,9.79416430528
