,AAAIndicator Name,Unnamed: 0,Country Name,Country Code,AAAIndicator Name.1,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
107,"Improved sanitation facilities, urban (% of urban population with access)",349,Mexico,MEX,"Improved sanitation facilities, urban (% of urban population with access)",SH.STA.ACSN.UR,80.4,80.8,81.1,81.5,81.9,82.3,82.7,83.0,83.4,83.8,84.2,84.6,84.9,85.3,85.7,86.1,86.4,86.8
109,"Improved water source, rural (% of rural population with access)",351,Mexico,MEX,"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,64.8,66.2,67.5,68.9,70.3,71.6,73.0,74.4,75.7,77.1,78.5,79.8,81.2,82.6,83.9,85.3,86.7,88.0
110,"Improved water source, urban (% of urban population with access)",352,Mexico,MEX,"Improved water source, urban (% of urban population with access)",SH.H2O.SAFE.UR.ZS,92.4,92.7,92.9,93.1,93.4,93.6,93.8,94.1,94.3,94.5,94.8,95.0,95.3,95.5,95.7,96.0,96.2,96.4
111,"Incidence of tuberculosis (per 100,000 people)",353,Mexico,MEX,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,47.0,43.0,40.0,37.0,34.0,31.0,29.0,27.0,25.0,23.0,22.0,21.0,20.0,20.0,20.0,20.0,21.0,21.0
112,"Industry, value added (% of GDP)",361,Mexico,MEX,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,30.9929689782,32.4700991232,34.6885539351,34.5701901867,33.8022807739,34.0627445401,34.8580098567,33.0251016418,32.8761127606,33.7122856426,35.378760165,35.1727900781,36.3669658238,36.0999739258,36.5558511031,34.2895381145,35.0863423652,36.3221534089
115,Internet users (per 100 people),387,Mexico,MEX,Internet users (per 100 people),IT.NET.USER.P2,0.0433391667852,0.102564189853,0.20040628033,0.62731153956,1.26578327821,1.85743622125,5.08138415338,7.0380231165,11.9,12.9,14.1,17.21,19.52,20.81,21.71,26.34,31.05,37.1762954125
122,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",397,Mexico,MEX,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,38.5,39.7999992371,39.7999992371,42.0,41.7000007629,40.7999992371,41.2000007629,40.5999984741,41.2999992371,40.7999992371,43.2000007629,43.5,44.7999992371,45.5999984741,46.2000007629,45.5,46.7000007629,46.2000007629
123,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",398,Mexico,MEX,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,36.7000007629,37.9000015259,37.9000015259,39.9000015259,39.5999984741,38.7999992371,39.0999984741,38.4000015259,39.0999984741,38.5999984741,40.7999992371,41.0999984741,42.2000007629,42.9000015259,43.5,42.7999992371,43.7999992371,43.2000007629
128,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",403,Mexico,MEX,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,61.5,61.5,61.5999984741,63.0999984741,62.7999992371,62.0999984741,62.0999984741,61.5,61.5999984741,61.0,62.5,62.4000015259,63.5,63.7999992371,64.0999984741,63.2000007629,64.1999969482,63.5999984741
129,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",404,Mexico,MEX,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,59.5,59.4000015259,59.4000015259,60.7999992371,60.5999984741,59.7999992371,59.5999984741,59.0,59.0999984741,58.5,59.9000015259,59.7999992371,60.7000007629,60.9000015259,61.2000007629,60.0999984741,61.0999984741,60.2999992371
130,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",405,Mexico,MEX,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,59.4000015259,59.2999992371,59.2000007629,60.4000015259,60.4000015259,59.5,59.2000007629,58.2999992371,58.4000015259,57.9000015259,59.2999992371,58.9000015259,59.7999992371,60.0,60.4000015259,59.4000015259,60.2999992371,59.5999984741
131,"Labor force, female (% of total labor force)",406,Mexico,MEX,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,31.4579621849,32.5470649736,32.5393040905,33.4609223916,33.312839533,33.0703063332,33.4306784141,33.1597293444,33.6964725969,33.5945620232,34.6675073485,34.9704941973,35.3594597325,35.8143545314,36.1250641676,36.1835625583,36.4134107864,36.3830715349
132,"Labor force, total",407,Mexico,MEX,"Labor force, total",SL.TLF.TOTL.IN,34920892.0,35792063.0,36691092.0,38459672.0,39216738.0,39553734.0,40255073.0,40634819.0,41460586.0,41785099.0,43577324.0,44349073.0,46013944.0,47226857.0,48571994.0,48811501.0,50752609.0,51179005.0
133,Land area (sq. km),408,Mexico,MEX,Land area (sq. km),AG.LND.TOTL.K2,1943950.0,1943950.0,1943950.0,1943950.0,1943950.0,1943950.0,1943950.0,1943950.0,1943950.0,1943950.0,1943950.0,1943950.0,1943950.0,1943950.0,1943950.0,1943950.0,1943950.0,1943950.0
135,"Life expectancy at birth, female (years)",411,Mexico,MEX,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,75.079,75.373,75.658,75.936,76.206,76.471,76.732,76.99,77.246,77.501,77.754,78.004,78.25,78.488,78.719,78.941,79.156,79.364
136,"Life expectancy at birth, male (years)",412,Mexico,MEX,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,69.778,70.229,70.649,71.029,71.365,71.658,71.916,72.15,72.374,72.602,72.839,73.087,73.343,73.6,73.853,74.1,74.342,74.581
137,"Life expectancy at birth, total (years)",413,Mexico,MEX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.3638536585,72.7382682927,73.0924146341,73.4226585366,73.7264634146,74.005804878,74.2652682927,74.5109756098,74.7505853659,74.9917560976,75.2365609756,75.4855365854,75.7366585366,75.9843902439,76.2266585366,76.4614634146,76.6902926829,76.9141707317
150,"Mortality rate, infant (per 1,000 live births)",470,Mexico,MEX,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,30.4,28.8,27.3,25.8,24.3,22.9,21.6,20.4,19.3,18.2,17.4,16.7,16.2,15.8,15.4,15.0,14.4,13.8
154,Number of infant deaths,549,Mexico,MEX,Number of infant deaths,SH.DTH.IMRT,75657.0,71687.0,68158.0,64662.0,61088.0,57577.0,54083.0,50708.0,47433.0,44140.0,41705.0,39703.0,38229.0,37141.0,36165.0,35253.0,33891.0,32579.0
155,Number of under-five deaths,551,Mexico,MEX,Number of under-five deaths,SH.DTH.MORT,92366.0,86981.0,82275.0,77596.0,73075.0,68589.0,64086.0,59954.0,55646.0,52056.0,49081.0,46553.0,44763.0,43385.0,42138.0,40965.0,39580.0,37776.0
162,Population ages 0-14 (% of total),585,Mexico,MEX,Population ages 0-14 (% of total),SP.POP.0014.TO.ZS,36.6627948146,36.1877095972,35.7783158565,35.4041275629,35.0470774543,34.6839050636,34.3030869308,33.9285651073,33.5533154129,33.1756224514,32.7992004125,32.42483278,31.941494372,31.4578114954,30.9697698032,30.4740688257,29.9725600451,29.4863274972
163,Population ages 15-64 (% of total),586,Mexico,MEX,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,58.784372049,59.1842682278,59.5138077707,59.8079158383,60.0867937415,60.3762465738,60.6882080573,60.9985423673,61.3147937023,61.6323529084,61.9399086008,62.232820187,62.6235139578,63.0012050447,63.3756651061,63.7580523055,64.1491905135,64.5346006823
164,Population ages 65 and above (% of total),587,Mexico,MEX,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,4.55283313641,4.62802217494,4.70787637275,4.78795659878,4.86612880427,4.93984836259,5.00870501191,5.07289252546,5.13189088473,5.19202464013,5.2608909867,5.34234703303,5.43499167022,5.54098345992,5.65456509065,5.76787886879,5.87824944139,5.97907182048
165,Population density (people per sq. km of land area),588,Mexico,MEX,Population density (people per sq. km of land area),EN.POP.DNST,47.6677198488,48.5747812444,49.47746084,50.3746624142,51.2525008359,52.0931968415,52.8864374084,53.6225535636,54.3112204532,54.9851683428,55.6896123871,56.4561362175,57.2971820263,58.2007633941,59.1439188251,60.091880964,61.0188235294,61.9178842048
167,Population in largest city,590,Mexico,MEX,Population in largest city,EN.URB.LCTY,16733092.0,17017469.0,17307081.0,17600805.0,17899928.0,18204136.0,18457027.0,18617824.0,18780246.0,18944086.0,19109583.0,19276065.0,19444230.0,19613862.0,19785210.0,19957578.0,20131688.0,20307317.0
168,Population in the largest city (% of urban population),591,Mexico,MEX,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,24.741904087,24.5636184225,24.425342421,24.3119873764,24.2174927929,24.1485898166,24.0261317809,23.7998695584,23.6024408676,23.4180324929,23.2271260051,23.0171776154,22.7849065115,22.5368455716,22.2831361979,22.0370758066,21.8078143684,21.5973385586
169,Population in urban agglomerations of more than 1 million,592,Mexico,MEX,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,32335222.0,33050929.0,33785837.0,34537421.0,35309329.0,36101123.0,36799052.0,37316722.0,37843785.0,38379700.0,38925396.0,39478773.0,40042277.0,40615333.0,41198937.0,41790849.0,42393684.0,43006831.0
170,Population in urban agglomerations of more than 1 million (% of total population),593,Mexico,MEX,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,34.8952551671,35.0015863057,35.127091211,35.2689609712,35.439640914,35.649595913,35.7937522536,35.7990008074,35.8442843608,35.9063224231,35.9561972344,35.972233493,35.9501256104,35.8984954257,35.833631498,35.775054622,35.7398098841,35.7302655847
171,"Population, female (% of total)",594,Mexico,MEX,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.3349770413,50.3469941726,50.3548938774,50.3592387401,50.3603013316,50.3585665042,50.3544781618,50.348087127,50.3395731037,50.3296736977,50.3193201134,50.3092541921,50.2997440621,50.2908642574,50.2828820735,50.2760024919,50.2703259523,50.2659832835
172,"Population, total",595,Mexico,MEX,"Population, total",SP.POP.TOTL,92663664.0,94426946.0,96181710.0,97925825.0,99632299.0,101266570.0,102808590.0,104239563.0,105578297.0,106888418.0,108257822.0,109747906.0,111382857.0,113139374.0,114972821.0,116815612.0,118617542.0,120365271.0
175,Prevalence of anemia among children (% of children under 5),677,Mexico,MEX,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,35.8,35.2,34.6,33.9,33.3,32.6,32.1,31.3,30.9,30.3,29.8,29.2,28.4,27.7,27.0,26.4,26.1,25.9
180,"Primary education, duration (years)",688,Mexico,MEX,"Primary education, duration (years)",SE.PRM.DURS,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
184,Primary school starting age (years),693,Mexico,MEX,Primary school starting age (years),SE.PRM.AGES,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
189,Rural population,733,Mexico,MEX,Rural population,SP.RUR.TOTL,25033089.0,25147784.0,25324644.0,25530242.0,25719082.0,25882723.0,25987955.0,26012983.0,26009213.0,25993125.0,25985125.0,26001474.0,26044653.0,26109173.0,26182761.0,26251972.0,26303440.0,26338329.0
190,Rural population (% of total population),734,Mexico,MEX,Rural population (% of total population),SP.RUR.TOTL.ZS,27.015,26.632,26.33,26.071,25.814,25.559,25.278,24.955,24.635,24.318,24.003,23.692,23.383,23.077,22.773,22.473,22.175,21.882
205,"Secondary education, duration (years)",757,Mexico,MEX,"Secondary education, duration (years)",SE.SEC.DURS,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
212,"Services, etc., value added (% of GDP)",768,Mexico,MEX,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,64.7045287249,63.1622381274,60.5916074088,61.055109943,61.9913533486,61.9834586865,61.6066768945,63.309428411,63.5474905295,62.701572761,61.0460465312,61.4570194301,60.2724181343,60.5799656701,60.1531564315,62.1869913822,61.4533836543,60.3256536676
215,Surface area (sq. km),781,Mexico,MEX,Surface area (sq. km),AG.SRF.TOTL.K2,1964380.0,1964380.0,1964380.0,1964380.0,1964380.0,1964380.0,1964380.0,1964380.0,1964380.0,1964380.0,1964380.0,1964380.0,1964380.0,1964380.0,1964380.0,1964380.0,1964380.0,1964380.0
216,"Survival to age 65, female (% of cohort)",782,Mexico,MEX,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,80.94993,81.42125,81.89257,82.363899,82.72386,83.08382,83.44379,83.80375,84.163707,84.46421,84.76471,85.06521,85.36571,85.66622,85.89711,86.128,86.35889,86.58978
217,"Survival to age 65, male (% of cohort)",783,Mexico,MEX,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,71.15123,71.96527,72.77931,73.593366,73.94831,74.30325,74.6582,75.01314,75.368095,75.77471,76.18133,76.58794,76.99456,77.401188,77.73569,78.07021,78.40472,78.73923
219,Urban population,830,Mexico,MEX,Urban population,SP.URB.TOTL,67630575.0,69279162.0,70857066.0,72395583.0,73913217.0,75383847.0,76820635.0,78226580.0,79569084.0,80895293.0,82272697.0,83746432.0,85338204.0,87030201.0,88790060.0,90563640.0,92314102.0,94026942.0
220,Urban population (% of total),831,Mexico,MEX,Urban population (% of total),SP.URB.TOTL.IN.ZS,72.985,73.368,73.67,73.929,74.186,74.441,74.722,75.045,75.365,75.682,75.997,76.308,76.617,76.923,77.227,77.527,77.825,78.118
